15	10	E	-8742245.588314336	200
emissionprobs	9	7	H3k27ac	0	0.013643778741059754
emissionprobs	9	7	H3k27ac	1	0.9863562212589403
emissionprobs	9	8	H3k36me3	0	0.9974941145351173
emissionprobs	9	8	H3k36me3	1	0.002505885464882708
emissionprobs	9	9	H3k79me2	0	0.9145798651037397
emissionprobs	9	9	H3k79me2	1	0.08542013489626041
emissionprobs	10	0	Ctcf	0	0.9828750629150842
emissionprobs	10	0	Ctcf	1	0.01712493708491579
emissionprobs	10	1	H2az	0	0.947914746126807
emissionprobs	10	1	H2az	1	0.05208525387319294
emissionprobs	10	2	H3k04me1	0	0.6709450954512536
emissionprobs	10	2	H3k04me1	1	0.32905490454874653
emissionprobs	10	3	H3k04me2	0	0.7954607597591085
emissionprobs	10	3	H3k04me2	1	0.20453924024089154
emissionprobs	10	4	H3k04me3	0	0.8485812214920273
emissionprobs	10	4	H3k04me3	1	0.15141877850797272
emissionprobs	10	5	H3k09ac	0	0.7868437492772371
emissionprobs	10	5	H3k09ac	1	0.21315625072276295
emissionprobs	10	6	H3k09me3	0	0.9874054209940663
emissionprobs	10	6	H3k09me3	1	0.012594579005933765
emissionprobs	10	7	H3k27ac	0	0.14907843112492097
emissionprobs	10	7	H3k27ac	1	0.8509215688750791
emissionprobs	10	8	H3k36me3	0	0.9873594764644135
emissionprobs	10	8	H3k36me3	1	0.012640523535586456
emissionprobs	10	9	H3k79me2	0	0.9334679317885504
emissionprobs	10	9	H3k79me2	1	0.06653206821144969
emissionprobs	11	0	Ctcf	0	0.9993009820473563
emissionprobs	11	0	Ctcf	1	6.990179526436852E-4
emissionprobs	11	1	H2az	0	0.9647462689175053
emissionprobs	11	1	H2az	1	0.03525373108249471
emissionprobs	11	2	H3k04me1	0	0.8269816397774848
emissionprobs	11	2	H3k04me1	1	0.17301836022251513
emissionprobs	11	3	H3k04me2	0	0.9224013643605848
emissionprobs	11	3	H3k04me2	1	0.07759863563941517
emissionprobs	11	4	H3k04me3	0	0.8860056570798706
emissionprobs	11	4	H3k04me3	1	0.11399434292012937
emissionprobs	11	5	H3k09ac	0	0.9411032235396912
emissionprobs	11	5	H3k09ac	1	0.0588967764603088
emissionprobs	11	6	H3k09me3	0	0.9970344511627984
emissionprobs	11	6	H3k09me3	1	0.0029655488372015673
emissionprobs	11	7	H3k27ac	0	0.9839534105737123
emissionprobs	11	7	H3k27ac	1	0.016046589426287686
emissionprobs	11	8	H3k36me3	0	0.9976277050869031
emissionprobs	11	8	H3k36me3	1	0.0023722949130967693
emissionprobs	11	9	H3k79me2	0	0.9477657270986525
emissionprobs	11	9	H3k79me2	1	0.05223427290134748
emissionprobs	12	0	Ctcf	0	0.9999999999940143
emissionprobs	12	0	Ctcf	1	5.985675517627682E-12
emissionprobs	12	1	H2az	0	0.9924844565731282
emissionprobs	12	1	H2az	1	0.007515543426871799
emissionprobs	12	2	H3k04me1	0	0.9991581948234453
emissionprobs	12	2	H3k04me1	1	8.418051765547649E-4
emissionprobs	12	3	H3k04me2	0	0.9992648393458217
emissionprobs	12	3	H3k04me2	1	7.351606541784045E-4
emissionprobs	12	4	H3k04me3	0	0.9785071489326197
emissionprobs	12	4	H3k04me3	1	0.021492851067380327
emissionprobs	12	5	H3k09ac	0	0.9936360536725573
emissionprobs	12	5	H3k09ac	1	0.006363946327442731
emissionprobs	12	6	H3k09me3	0	0.9968281248824544
emissionprobs	12	6	H3k09me3	1	0.0031718751175455755
emissionprobs	12	7	H3k27ac	0	0.9998871253095079
emissionprobs	12	7	H3k27ac	1	1.1287469049222717E-4
emissionprobs	12	8	H3k36me3	0	0.9987312698347036
emissionprobs	12	8	H3k36me3	1	0.0012687301652962702
emissionprobs	12	9	H3k79me2	0	0.9856486886745826
emissionprobs	12	9	H3k79me2	1	0.014351311325417518
emissionprobs	13	0	Ctcf	0	0.9995461068004922
emissionprobs	13	0	Ctcf	1	4.538931995078863E-4
emissionprobs	13	1	H2az	0	0.9962027729135332
emissionprobs	13	1	H2az	1	0.0037972270864667884
emissionprobs	13	2	H3k04me1	0	0.9999182123778597
emissionprobs	13	2	H3k04me1	1	8.178762214021797E-5
emissionprobs	13	3	H3k04me2	0	0.9995703904297547
emissionprobs	13	3	H3k04me2	1	4.2960957024525327E-4
emissionprobs	13	4	H3k04me3	0	0.9831680384898751
emissionprobs	13	4	H3k04me3	1	0.01683196151012486
emissionprobs	13	5	H3k09ac	0	0.997510082243399
emissionprobs	13	5	H3k09ac	1	0.0024899177566010075
emissionprobs	13	6	H3k09me3	0	0.9945622811855461
emissionprobs	13	6	H3k09me3	1	0.005437718814453915
emissionprobs	13	7	H3k27ac	0	0.9999472759256226
emissionprobs	13	7	H3k27ac	1	5.272407437745699E-5
emissionprobs	13	8	H3k36me3	0	0.9998449557370023
emissionprobs	13	8	H3k36me3	1	1.5504426299780625E-4
emissionprobs	13	9	H3k79me2	0	0.9941991066553767
emissionprobs	13	9	H3k79me2	1	0.005800893344623272
emissionprobs	14	0	Ctcf	0	0.9968244317199829
emissionprobs	14	0	Ctcf	1	0.003175568280017115
emissionprobs	14	1	H2az	0	0.9857516823877182
emissionprobs	14	1	H2az	1	0.01424831761228187
emissionprobs	14	2	H3k04me1	0	0.9990845125595488
emissionprobs	14	2	H3k04me1	1	9.154874404511946E-4
emissionprobs	14	3	H3k04me2	0	0.9979002419252148
emissionprobs	14	3	H3k04me2	1	0.00209975807478529
emissionprobs	14	4	H3k04me3	0	0.9510121042998181
emissionprobs	14	4	H3k04me3	1	0.04898789570018193
emissionprobs	14	5	H3k09ac	0	0.9969628105360073
emissionprobs	14	5	H3k09ac	1	0.003037189463992731
emissionprobs	14	6	H3k09me3	0	0.7374220265061265
emissionprobs	14	6	H3k09me3	1	0.2625779734938735
emissionprobs	14	7	H3k27ac	0	0.9994681254102329
emissionprobs	14	7	H3k27ac	1	5.318745897670701E-4
emissionprobs	14	8	H3k36me3	0	0.9660899048068664
emissionprobs	14	8	H3k36me3	1	0.03391009519313359
emissionprobs	14	9	H3k79me2	0	0.9732130757634082
emissionprobs	14	9	H3k79me2	1	0.026786924236591746
emissionprobs	15	0	Ctcf	0	0.029839390710769922
emissionprobs	15	0	Ctcf	1	0.9701606092892301
emissionprobs	15	1	H2az	0	0.9754871482364225
emissionprobs	15	1	H2az	1	0.024512851763577474
emissionprobs	15	2	H3k04me1	0	0.97431633874813
emissionprobs	15	2	H3k04me1	1	0.025683661251870025
emissionprobs	15	3	H3k04me2	0	0.9482753952891974
emissionprobs	15	3	H3k04me2	1	0.05172460471080264
emissionprobs	15	4	H3k04me3	0	0.9567912351055213
emissionprobs	15	4	H3k04me3	1	0.04320876489447867
emissionprobs	15	5	H3k09ac	0	0.9730222419000452
emissionprobs	15	5	H3k09ac	1	0.02697775809995475
emissionprobs	15	6	H3k09me3	0	0.9937537837268606
emissionprobs	15	6	H3k09me3	1	0.006246216273139462
emissionprobs	15	7	H3k27ac	0	0.9962234398159574
emissionprobs	15	7	H3k27ac	1	0.0037765601840425455
emissionprobs	15	8	H3k36me3	0	0.9919781430028592
emissionprobs	15	8	H3k36me3	1	0.008021856997140683
emissionprobs	15	9	H3k79me2	0	0.963863555614901
emissionprobs	15	9	H3k79me2	1	0.036136444385098984
